lat;lon;species;diameter;raster
-24.8416421616483;31.2132700870809;sb;2.045353;12020
-24.8414798007298;31.2134545710614;sb;1.348768;12020
-24.8413193404385;31.2134764647524;sb;2.482319;12020
-24.841127226129;31.2132074377282;sb;5.928163;12020
-24.8417591878705;31.2128507850785;sb;5.067663;12020
-24.8417264112839;31.213001690582;sb;3.237334;12020
-24.8418327203764;31.2135707394123;sb;1.647439;12020
-24.8417634543464;31.2132777492908;sb;4.124564;12020
-24.8413455529022;31.2135087464123;sb;3.966974;12020
-24.8416639712652;31.2134787443323;sb;1.346045;12020
-24.8417178257917;31.213666324702;sb;4.431307;12020
-24.8412817684492;31.2129469002496;sb;5.66815;12020
-24.8409137213869;31.213174691105;sb;2.224725;12020
-24.8418316803722;31.2130422874157;sb;2.140958;12020
-24.8414112465041;31.2129999540841;sb;5.372445;12020
-24.8416071306943;31.2133988464485;sb;3.679842;12020
-24.8408960329575;31.2128986620776;sb;5.629765;12020
-24.841351774954;31.2135067305128;sb;1.903613;12020
-24.8417185108096;31.2132530198406;sb;2.863196;12020
-24.841522289052;31.2129708623593;sb;2.079648;12020
-24.8413393474514;31.2134874433577;sb;3.220233;12020
-24.8415454447071;31.2134489583336;sb;4.521451;12020
-24.8412343980321;31.2134515035088;sb;4.736012;12020
-24.840957457562;31.2134151087002;sb;1.259856;12020
-24.8415411357675;31.2129419263744;sb;5.665216;12020
-24.84147709739;31.2131872193889;sb;3.153012;12020
-24.8413311120493;31.2133932995441;sb;3.875574;12020
-24.8411205158102;31.2134483990729;sb;4.123287;12020
-24.8415355308525;31.2137074400101;sb;1.87111;12020
-24.8414011504817;31.2132879941844;sb;5.099391;12020
-24.8414133576482;31.2130697811126;sb;5.788512;12020
-24.8417469394054;31.2131590952822;sb;2.102494;12020
-24.8412114932545;31.2131105952985;sb;2.541543;12020
-24.8415115473592;31.2135285677579;sb;5.86028;12020
-24.8410255339633;31.2128470816155;sb;5.338663;12020
-24.8412765399333;31.2134125009944;sb;5.143659;12020
-24.8415830410103;31.2132224063763;sb;1.923729;12020
-24.8411712430335;31.2137251347719;sb;2.323968;12020
-24.8410989066202;31.2131503438813;sb;1.681714;12020
-24.8414774852497;31.21295787129;sb;5.953917;12020
-24.841718350742;31.2131056961088;sb;3.524393;12020
-24.8415187301731;31.2135843346045;sb;5.016619;12020
-24.8412510761071;31.2132816210889;sb;1.607638;12020
-24.8410754930572;31.2133371341863;sb;1.650478;12020
-24.8415569156369;31.2131770550542;sb;1.685143;12020
-24.8409913907364;31.2135529501822;sb;4.103559;12020
-24.8415978549087;31.2132854859476;sb;3.616978;12020
-24.8410216720041;31.2132517563479;sb;3.98235;12020
-24.8414824666431;31.2131435510614;sb;1.662147;12020
-24.8418002326678;31.2135556975539;sb;5.51447;12020
-24.8411768353702;31.212959739413;sb;1.102502;12020
-24.8413604349878;31.213420085096;sb;5.350999;12020
-24.841659552391;31.213405943391;sb;1.557779;12020
-24.8414611489552;31.2134862329956;sb;3.863228;12020
-24.8416640034571;31.2133327624289;sb;4.421678;12020
-24.8417201824394;31.2136020559954;sb;3.568739;12020
-24.8414658226327;31.2132246948492;sb;1.639658;12020
-24.8412396447732;31.2137325730828;sb;2.185447;12020
-24.8413087978203;31.2129918554502;sb;5.352138;12020
-24.8416312670753;31.2128760466013;sb;5.090503;12020
-24.8409505661325;31.2129326582232;sb;5.00185;12020
-24.8415404855211;31.2130912618146;sb;2.282391;12020
-24.8414550806232;31.2134126850036;sb;5.958275;12020
-24.8413349036259;31.2133078013663;sb;5.608393;12020
-24.8416666426809;31.2133383740224;sb;2.037792;12020
-24.8409540569868;31.2130060437275;sb;5.25554;12020
-24.8416401491786;31.2130862799187;sb;3.001498;12020
-24.8412288802247;31.2132388945793;sb;4.159474;12020
-24.841357897995;31.2130106991085;sb;2.338122;12020
-24.841030461157;31.2135407269874;sb;3.903224;12020
-24.8415211063698;31.2132322992993;sb;2.127919;12020
-24.8415694763462;31.2134447063332;sb;3.574515;12020
-24.8409839084125;31.2130885774273;sb;5.664464;12020
-24.8411645533199;31.213099657309;sb;23.89272;12020
-24.8415104406166;31.213146641201;sb;24.19929;12020
-24.8410970957734;31.2134190234161;sb;25.09222;12020
-24.8412523236361;31.2128603349344;sb;23.99725;12020
-24.8414999250135;31.2128980054981;sb;22.02276;12020
-24.8411000477802;31.2136037664548;sb;21.70894;12020
-24.8418347886775;31.2131754829889;sb;24.8763;12020
-24.8418361956512;31.2131728048797;ca;2.012247;12020
-24.8414080324777;31.2129161640469;ca;5.554572;12020
-24.8416155365842;31.2134846652112;ca;1.504306;12020
-24.8416057631545;31.2136269504368;ca;3.430236;12020
-24.8413210328419;31.213595528607;ca;3.667251;12020
-24.8410825964452;31.2136499467776;ca;3.055877;12020
-24.8410638070888;31.213413352524;ca;3.941153;12020
-24.840973656329;31.2136642786646;ca;1.530155;12020
-24.8409171108842;31.2128251333539;ca;5.356516;12020
-24.8409433809941;31.213678891252;ca;4.645939;12020
-24.8409986185778;31.2133657445826;ca;5.602738;12020
-24.8410523715661;31.2135765344736;ca;2.861912;12020
-24.8417081546951;31.2130902510672;ca;5.597641;12020
-24.8415825315778;31.2132663175773;ca;1.843914;12020
-24.8409684324917;31.2132174911848;ca;1.589032;12020
-24.8413677009458;31.2131895004966;ca;5.297874;12020
-24.8416618323912;31.2132096869963;ca;3.803539;12020
-24.8410494609403;31.213318071146;ca;3.894174;12020
-24.8409734166924;31.2134360063907;ca;4.888728;12020
-24.8411711719438;31.2132728252063;ca;3.004645;12020
-24.841411005609;31.2137307639703;ca;1.811364;12020
-24.8409256824369;31.2136311779823;ca;2.769846;12020
-24.8417291632633;31.2136135354301;ca;5.74999;12020
-24.8412869380062;31.2128376397273;ca;2.003333;12020
-24.8413636708295;31.2130808788477;ca;1.094372;12020
-24.8409425754055;31.2132040345976;ca;3.628124;12020
-24.8416936715503;31.2131777972858;ca;1.466737;12020
-24.8417291393076;31.2135686234495;ca;1.57247;12020
-24.8417426570619;31.2135560553428;ca;1.729903;12020
-24.8410558738107;31.2130593008338;ca;2.953842;12020
-24.8412139987333;31.2131054957216;ca;5.462146;12020
-24.84113721875;31.2133952515911;ca;1.426078;12020
-24.8414885435813;31.2134841721937;ca;5.083272;12020
-24.8413667977248;31.2130614287718;ca;4.991887;12020
-24.8411166414251;31.2131799763417;ca;2.030834;12020
-24.8415569900203;31.2135502639245;ca;2.719545;12020
-24.8413833032979;31.2128247164197;ca;5.738388;12020
-24.8416080226296;31.2130543260177;ca;2.932479;12020
-24.8409178977868;31.2133456414143;ca;5.463608;12020
-24.8412421593856;31.2136633545053;ca;2.76095;12020
-24.8417488183963;31.21308749899;ca;5.65205;12020
-24.8417403033567;31.2131856145987;ca;5.436578;12020
-24.8415645310376;31.2134780938595;ca;3.294595;12020
-24.841638104802;31.2132319305294;ca;3.505036;12020
-24.841552547674;31.2134834155862;ca;4.019361;12020
-24.8409654103551;31.2133079686507;ca;3.142057;12020
-24.8416014342025;31.213319752138;ca;5.473606;12020
-24.841242727278;31.212982771546;ca;3.297193;12020
